Some of these models (whisper) fail due to turbine depending on torch 2.1 (hopefully updated soon)

Test pytorch/models/vit-base-patch16-224 passed
Test pytorch/models/resnet50 passed
Test pytorch/models/opt-125M passed
Test pytorch/models/beit-base-patch16-224-pt22k-ft22k passed
Test pytorch/models/bge-base-en-v1.5 passed
Test pytorch/models/deit-small-distilled-patch16-224 passed
Test pytorch/models/bert-large-uncased passed
Test pytorch/models/miniLM-L12-H384-uncased passed
Test pytorch/models/opt-1.3b passed
Test pytorch/models/opt-350m passed
Test pytorch/models/llama2-7b-hf failed [model-run]
Test pytorch/models/dlrm failed [model-run]
Test pytorch/models/bart-large failed [model-run]
Test pytorch/models/opt-125m-gptq failed [model-run]
Test pytorch/models/mit-b0 failed [mismatch]
Test pytorch/models/mobilebert-uncased failed [mismatch]
Test pytorch/models/stablelm-3b-4e1t failed [model-run]
Test pytorch/models/gpt2-xl failed [iree-compile]
Test pytorch/models/phi-1_5 failed [mismatch]
Test pytorch/models/t5-base failed [mismatch]
Test pytorch/models/gpt2 failed [iree-compile]
Test pytorch/models/whisper-base failed [model-run]
Test pytorch/models/whisper-medium failed [model-run]
Test pytorch/models/whisper-small failed [model-run]
Test pytorch/models/t5-large failed [mismatch]
Test pytorch/models/phi-2 failed [mismatch]
Test pytorch/models/vicuna-13b-v1.3 failed [model-run]
Test pytorch/models/llama2-7b-GPTQ failed [model-run]
